timestamp,prediction,confidence,prob_correct,prob_bad_head_position,prob_bad_upperbody_position
2025-11-09 14:58:45.540889,Correct,0.8440855767551025,0.8440855767551025,0.042720778028965165,0.113193645215932
2025-11-09 14:59:15.614615,Correct,0.5435912019507306,0.5435912019507306,0.2907598154263582,0.16564898262291114
2025-11-09 14:59:45.639370,Correct,0.9584656426581633,0.9584656426581633,0.010731142146883959,0.030803215194952775
2025-11-09 15:00:15.664332,Correct,0.85288690465524,0.85288690465524,0.033840786594319966,0.11327230875043987
2025-11-09 15:00:45.714704,Correct,0.43757117717177296,0.43757117717177296,0.17801422572215142,0.3844145971060755
2025-11-09 15:01:15.793719,Correct,0.5654269164430478,0.2985931677469281,0.1359799158100242,0.5654269164430478
2025-11-09 15:01:45.823188,Correct,0.4773071519445462,0.4773071519445462,0.1396472840918542,0.3830455639635996
2025-11-09 15:02:15.850966,Correct,0.53241210261176,0.53241210261176,0.22318605938937652,0.24440183799886342
2025-11-09 15:02:45.934229,Correct,0.8426131348190026,0.8426131348190026,0.047701332471182856,0.1096855327098143
2025-11-09 15:03:16.004104,Bad upperbody position,0.6714013921737154,0.17830331131852678,0.15029529650775783,0.6714013921737154
2025-11-09 15:03:46.114632,Bad head position,0.44073326361985565,0.2761239627481009,0.44073326361985565,0.2831427736320434
2025-11-09 15:04:16.194323,Correct,0.5725520406639061,0.5725520406639061,0.26858313316636584,0.15886482616972802
2025-11-09 15:04:46.269788,Bad upperbody position,0.46729344919098126,0.46729344919098126,0.2607032393572697,0.272003311451749
2025-11-09 15:05:16.298514,Correct,0.8927573479614301,0.8927573479614301,0.015192246565726408,0.09205040547284343
2025-11-09 15:05:46.435835,Correct,0.9602994932933981,0.9602994932933981,0.01601022789701317,0.023690278809588454
2025-11-09 15:06:16.485605,Correct,0.7261507982665785,0.7261507982665785,0.03812220528891355,0.23572699644450792
2025-11-09 15:06:46.490369,Correct,0.8697243552111198,0.8697243552111198,0.028824055000400375,0.10145158978847978
2025-11-09 15:07:16.541539,Correct,0.8653326321846923,0.8653326321846923,0.041642866515207044,0.09302450130010026
2025-11-09 15:07:46.592059,Bad head position,0.8968520609824957,0.00416798418972332,0.8968520609824957,0.09897995482778094
2025-11-09 15:08:35.924823,Correct,0.864896938487708,0.864896938487708,0.04359985546185231,0.09150320605043931
